Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,"Total Occupied Housing Units",census_fips
Brooklyn,047,3,014800,495,047014800
Brooklyn,047,3,014900,"2,170",047014900
Brooklyn,047,3,015000,670,047015000
Brooklyn,047,3,015100,"1,558",047015100
Brooklyn,047,3,015200,890,047015200
Brooklyn,047,3,015300,"1,198",047015300
Brooklyn,047,3,015400,0,047015400
Brooklyn,047,3,015500,"1,485",047015500
Brooklyn,047,3,015700,"2,045",047015700
Brooklyn,047,3,015900,"2,639",047015900
Brooklyn,047,3,016000,"1,800",047016000
Brooklyn,047,3,016100,"1,423",047016100
Brooklyn,047,3,016200,"1,013",047016200
Brooklyn,047,3,016300,"1,352",047016300
Brooklyn,047,3,016400,229,047016400
Brooklyn,047,3,016500,"2,422",047016500
Brooklyn,047,3,016600,755,047016600
Brooklyn,047,3,016700,"2,085",047016700
Brooklyn,047,3,016800,677,047016800
Brooklyn,047,3,016900,"2,075",047016900
Brooklyn,047,3,017000,"1,195",047017000
Brooklyn,047,3,017100,"1,602",047017100
Brooklyn,047,3,017200,"1,046",047017200
Brooklyn,047,3,017400,684,047017400
Brooklyn,047,3,017500,2,047017500
Brooklyn,047,3,017600,909,047017600
Brooklyn,047,3,017700,0,047017700
Brooklyn,047,3,017800,903,047017800
Brooklyn,047,3,017900,"1,472",047017900
Brooklyn,047,3,018000,"1,061",047018000
Brooklyn,047,3,018100,"2,176",047018100
Brooklyn,047,3,018200,"1,089",047018200
Brooklyn,047,3,018300,"1,207",047018300
Brooklyn,047,3,018400,777,047018400
Brooklyn,047,3,018501,"1,496",047018501
Brooklyn,047,3,018600,737,047018600
Brooklyn,047,3,018700,551,047018700
Brooklyn,047,3,018800,963,047018800
Brooklyn,047,3,019000,"1,587",047019000
Brooklyn,047,3,019100,916,047019100
Brooklyn,047,3,019200,756,047019200
Brooklyn,047,3,019300,"2,216",047019300
Brooklyn,047,3,019400,"1,101",047019400
Brooklyn,047,3,019500,"1,721",047019500
Brooklyn,047,3,019600,"1,504",047019600
Brooklyn,047,3,019700,"1,684",047019700
Brooklyn,047,3,019800,658,047019800
Brooklyn,047,3,019900,"1,476",047019900
Brooklyn,047,3,020000,779,047020000
Brooklyn,047,3,020100,"1,680",047020100
Brooklyn,047,3,020200,694,047020200
Brooklyn,047,3,020300,651,047020300
Brooklyn,047,3,020400,645,047020400
Brooklyn,047,3,020500,"1,221",047020500
Brooklyn,047,3,020600,802,047020600
Brooklyn,047,3,020700,"2,065",047020700
Brooklyn,047,3,020800,"1,081",047020800
Brooklyn,047,3,021000,"1,321",047021000
Brooklyn,047,3,021100,497,047021100
Brooklyn,047,3,021200,"1,442",047021200
Brooklyn,047,3,021300,"1,811",047021300
Brooklyn,047,3,021400,579,047021400
Brooklyn,047,3,021500,"2,471",047021500
Brooklyn,047,3,021600,980,047021600
Brooklyn,047,3,021700,"1,536",047021700
Brooklyn,047,3,021800,983,047021800
Brooklyn,047,3,021900,"1,503",047021900
Brooklyn,047,3,022000,"1,329",047022000
Brooklyn,047,3,022100,"1,517",047022100
Brooklyn,047,3,022200,"1,247",047022200
Brooklyn,047,3,022400,"1,318",047022400
Brooklyn,047,3,022600,636,047022600
Brooklyn,047,3,022700,"1,429",047022700
Brooklyn,047,3,022800,788,047022800
Brooklyn,047,3,022900,"1,491",047022900
Brooklyn,047,3,023000,"1,101",047023000
Brooklyn,047,3,023100,"1,457",047023100
Brooklyn,047,3,023200,"1,397",047023200
Brooklyn,047,3,023300,"1,773",047023300
Brooklyn,047,3,023400,"1,455",047023400
Brooklyn,047,3,023500,"1,195",047023500
Brooklyn,047,3,023600,"1,709",047023600
Brooklyn,047,3,023800,"1,362",047023800
Brooklyn,047,3,024000,"1,386",047024000
Brooklyn,047,3,024100,913,047024100
Brooklyn,047,3,024200,898,047024200
Brooklyn,047,3,024300,"1,757",047024300
Brooklyn,047,3,024400,920,047024400
Brooklyn,047,3,024500,"1,706",047024500
Brooklyn,047,3,024600,995,047024600
Brooklyn,047,3,024700,960,047024700
Brooklyn,047,3,024800,872,047024800
Brooklyn,047,3,024900,"1,736",047024900
Brooklyn,047,3,025000,530,047025000
Brooklyn,047,3,025100,"1,434",047025100
Brooklyn,047,3,025200,"1,800",047025200
Brooklyn,047,3,025300,"1,171",047025300
Brooklyn,047,3,025400,"1,162",047025400
Brooklyn,047,3,025500,"1,696",047025500
Brooklyn,047,3,025600,"1,024",047025600
Brooklyn,047,3,025700,634,047025700
Brooklyn,047,3,025800,"1,613",047025800
Brooklyn,047,3,025901,683,047025901
Brooklyn,047,3,025902,"1,053",047025902
Brooklyn,047,3,026000,"1,207",047026000
Brooklyn,047,3,026100,"1,950",047026100
Brooklyn,047,3,026200,793,047026200
Brooklyn,047,3,026300,777,047026300
Brooklyn,047,3,026400,"1,596",047026400
Brooklyn,047,3,026500,"1,476",047026500
Brooklyn,047,3,026600,"1,255",047026600
Brooklyn,047,3,026700,"1,747",047026700
Brooklyn,047,3,026800,"1,472",047026800
Brooklyn,047,3,026900,"1,160",047026900
Brooklyn,047,3,027000,908,047027000
Brooklyn,047,3,027100,930,047027100
Brooklyn,047,3,027200,"1,161",047027200
Brooklyn,047,3,027300,"1,208",047027300
Brooklyn,047,3,027400,"1,041",047027400
Brooklyn,047,3,027500,"1,660",047027500
Brooklyn,047,3,027600,"1,221",047027600
Brooklyn,047,3,027700,"1,495",047027700
Brooklyn,047,3,027800,"1,185",047027800
Brooklyn,047,3,027900,"1,475",047027900
Brooklyn,047,3,028000,658,047028000
Brooklyn,047,3,028100,"1,525",047028100
Brooklyn,047,3,028200,"1,224",047028200
Brooklyn,047,3,028300,"1,421",047028300
Brooklyn,047,3,028400,"1,408",047028400
Brooklyn,047,3,028501,125,047028501
Brooklyn,047,3,028502,"1,092",047028502
Brooklyn,047,3,028600,"2,033",047028600
Brooklyn,047,3,028700,"1,076",047028700
Brooklyn,047,3,028800,"1,175",047028800
Brooklyn,047,3,028900,"1,281",047028900
Brooklyn,047,3,029000,"1,522",047029000
Brooklyn,047,3,029100,"1,228",047029100
Brooklyn,047,3,029200,934,047029200
Brooklyn,047,3,029300,"1,316",047029300
Brooklyn,047,3,029400,600,047029400
Brooklyn,047,3,029500,"1,525",047029500
Brooklyn,047,3,029600,"2,076",047029600
Brooklyn,047,3,029700,"1,423",047029700
Brooklyn,047,3,029800,"1,296",047029800
Brooklyn,047,3,029900,902,047029900
Brooklyn,047,3,030000,"1,375",047030000
Brooklyn,047,3,030100,996,047030100
Brooklyn,047,3,030200,"1,495",047030200
Brooklyn,047,3,030300,"1,605",047030300
Brooklyn,047,3,030400,"1,605",047030400
Brooklyn,047,3,030500,"2,304",047030500
Brooklyn,047,3,030600,683,047030600
Brooklyn,047,3,030700,"1,969",047030700
Brooklyn,047,3,030800,777,047030800
Brooklyn,047,3,030900,607,047030900
Brooklyn,047,3,031100,"1,072",047031100
Brooklyn,047,3,031300,"2,116",047031300
Brooklyn,047,3,031400,"1,958",047031400
Brooklyn,047,3,031500,"2,287",047031500
Brooklyn,047,3,031701,"1,445",047031701
Brooklyn,047,3,031702,"1,366",047031702
Brooklyn,047,3,031900,"1,347",047031900
Brooklyn,047,3,032100,"1,903",047032100
Brooklyn,047,3,032300,"1,421",047032300
Brooklyn,047,3,032500,"2,461",047032500
Brooklyn,047,3,032600,"2,305",047032600
Brooklyn,047,3,032700,"1,249",047032700
Brooklyn,047,3,032800,"1,036",047032800
Brooklyn,047,3,032900,"2,189",047032900
Brooklyn,047,3,033000,"1,712",047033000
Brooklyn,047,3,033100,"1,499",047033100
Brooklyn,047,3,033300,"1,243",047033300
Brooklyn,047,3,033500,830,047033500
Brooklyn,047,3,033600,"1,843",047033600
Brooklyn,047,3,033700,"1,374",047033700
Brooklyn,047,3,033900,"1,792",047033900
Brooklyn,047,3,034000,646,047034000
Brooklyn,047,3,034100,988,047034100
Brooklyn,047,3,034200,"2,830",047034200
Brooklyn,047,3,034300,"1,959",047034300
Brooklyn,047,3,034500,"1,003",047034500
Brooklyn,047,3,034700,"1,379",047034700
Brooklyn,047,3,034800,757,047034800
Brooklyn,047,3,034900,"1,979",047034900
Brooklyn,047,3,035000,"1,554",047035000
Brooklyn,047,3,035100,"1,629",047035100
Brooklyn,047,3,035200,510,047035200
Brooklyn,047,3,035300,"1,862",047035300
Brooklyn,047,3,035400,"3,304",047035400
Brooklyn,047,3,035500,"1,952",047035500
Brooklyn,047,3,035601,"1,528",047035601
Brooklyn,047,3,035602,"2,796",047035602
Brooklyn,047,3,035700,896,047035700
Brooklyn,047,3,035900,"2,040",047035900
Brooklyn,047,3,036001,"1,798",047036001
Brooklyn,047,3,036002,"2,178",047036002
Brooklyn,047,3,036100,"1,050",047036100
Brooklyn,047,3,036200,"1,434",047036200
Brooklyn,047,3,036300,"1,537",047036300
Brooklyn,047,3,036400,889,047036400
Brooklyn,047,3,036501,"1,086",047036501
Brooklyn,047,3,036502,388,047036502
Brooklyn,047,3,036600,"1,485",047036600
